CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Churn Status,Customer Status
100001,Customer1,770,Germany,Male,52,1,91422.23,1,0,1,21936.7,1,Churned,Active
100002,Customer2,567,Germany,Female,21,9,30950.49,2,0,1,121764.05,1,Churned,Active
100003,Customer3,789,Germany,Male,26,4,104784.76,1,1,0,118647.6,1,Churned,Inactive
100004,Customer4,446,Spain,Male,41,1,136936.12,1,0,1,129516.77,0,Retained,Active
100005,Customer5,822,Germany,Female,47,5,74941.75,2,0,0,30143.18,0,Retained,Inactive
100006,Customer6,497,Germany,Female,56,1,29516.44,4,0,0,155071.07,0,Retained,Inactive
100007,Customer7,389,France,Female,66,8,143256.49,3,1,1,143629.64,0,Retained,Active
100008,Customer8,780,Spain,Female,23,4,118524.58,1,0,0,150264.48,0,Retained,Inactive
100009,Customer9,692,Germany,Female,40,0,235162.14,3,0,1,128020.12,0,Retained,Active
100010,Customer10,728,Germany,Male,33,6,97737.43,4,0,1,45777.76,0,Retained,Active
100011,Customer11,792,Germany,Female,53,4,176599.18,3,1,0,192180.27,0,Retained,Inactive
100012,Customer12,469,France,Male,18,7,207773.39,2,1,1,67157.18,0,Retained,Active
100013,Customer13,513,France,Female,78,2,172623.41,1,1,0,181413.61,0,Retained,Inactive
100014,Customer14,596,Spain,Female,58,6,15561.96,1,0,1,96515.97,0,Retained,Active
100015,Customer15,640,France,Female,27,8,25366.09,3,0,0,28008.38,1,Churned,Inactive
100016,Customer16,527,France,Female,56,5,118537.87,1,1,1,198724.0,0,Retained,Active
100017,Customer17,402,Germany,Female,65,5,185087.81,4,0,1,110521.89,1,Churned,Active
100018,Customer18,363,France,Female,66,8,74522.42,1,1,1,110903.42,0,Retained,Active
100019,Customer19,748,France,Female,50,5,159110.48,2,0,0,166391.59,0,Retained,Inactive
100020,Customer20,724,Spain,Male,19,0,197528.53,4,1,1,50824.32,0,Retained,Active
100021,Customer21,528,Spain,Female,79,5,20134.53,1,0,1,101964.8,0,Retained,Active
100022,Customer22,662,Germany,Male,71,0,119868.36,3,0,1,169410.03,0,Retained,Active
100023,Customer23,594,France,Female,74,2,108481.27,3,0,0,163152.36,0,Retained,Inactive
100024,Customer24,393,Spain,Female,64,2,42500.91,2,0,1,42962.88,0,Retained,Active
100025,Customer25,592,Germany,Male,60,5,38978.11,2,0,0,17634.94,0,Retained,Inactive
100026,Customer26,572,Spain,Male,73,3,206538.81,2,0,0,61589.44,0,Retained,Inactive
100027,Customer27,628,Germany,Male,44,2,15226.13,3,1,0,137557.84,0,Retained,Inactive
100028,Customer28,416,Spain,Female,52,2,130876.65,1,1,0,158653.64,0,Retained,Inactive
100029,Customer29,422,Spain,Male,48,9,181298.32,1,1,0,141231.3,1,Churned,Inactive
100030,Customer30,636,Spain,Female,21,3,47826.53,1,0,0,108927.09,1,Churned,Inactive
100031,Customer31,576,Spain,Male,38,9,243340.06,2,1,0,98683.97,0,Retained,Inactive
100032,Customer32,617,Spain,Female,74,4,230696.05,2,1,1,40369.87,0,Retained,Active
100033,Customer33,473,France,Female,45,1,53172.45,3,0,1,180949.89,1,Churned,Active
100034,Customer34,845,France,Female,47,3,186670.52,1,1,1,178712.58,0,Retained,Active
100035,Customer35,613,France,Male,43,5,105319.12,3,1,1,32055.89,0,Retained,Active
100036,Customer36,710,Germany,Male,19,6,82874.47,3,0,1,35877.24,0,Retained,Active
100037,Customer37,813,France,Male,67,2,67611.52,2,1,1,172173.75,0,Retained,Active
100038,Customer38,613,Spain,Female,54,7,175104.36,1,1,1,25642.4,0,Retained,Active
100039,Customer39,830,Spain,Male,19,10,22141.48,3,0,1,127512.82,1,Churned,Active
100040,Customer40,355,France,Male,39,8,104440.08,3,0,1,22993.05,1,Churned,Active
100041,Customer41,484,Spain,Male,21,2,50442.06,3,1,0,113250.88,0,Retained,Inactive
100042,Customer42,488,France,Female,40,0,248624.75,1,0,1,18410.27,0,Retained,Active
100043,Customer43,578,Spain,Male,24,10,204730.04,4,1,1,115992.66,0,Retained,Active
100044,Customer44,525,Germany,Female,30,10,34929.7,3,0,0,169842.84,0,Retained,Inactive
100045,Customer45,570,France,Male,28,0,21121.22,4,1,0,125774.01,0,Retained,Inactive
100046,Customer46,487,Spain,Female,46,0,65810.77,3,1,1,60222.6,1,Churned,Active
100047,Customer47,545,Germany,Male,23,7,69732.22,2,0,1,108376.09,1,Churned,Active
100048,Customer48,554,France,Male,55,0,98494.66,3,1,1,131488.93,1,Churned,Active
100049,Customer49,800,France,Male,56,6,191077.84,4,0,0,67572.67,0,Retained,Inactive
100050,Customer50,806,Spain,Male,50,10,107311.18,2,0,1,167885.69,0,Retained,Active
100051,Customer51,676,Spain,Male,41,1,94154.57,4,0,1,131136.92,1,Churned,Active
100052,Customer52,758,Spain,Male,22,8,224464.4,1,0,1,152959.66,1,Churned,Active
100053,Customer53,470,Germany,Female,64,3,57684.03,4,1,0,171423.28,0,Retained,Inactive
100054,Customer54,373,France,Female,57,10,160690.74,1,0,0,76377.99,0,Retained,Inactive
100055,Customer55,596,Spain,Female,21,7,67193.19,1,0,0,140005.92,1,Churned,Inactive
100056,Customer56,410,Germany,Female,75,8,49812.51,1,1,1,18238.32,0,Retained,Active
100057,Customer57,580,Germany,Male,35,6,52459.3,2,0,0,122572.39,0,Retained,Inactive
100058,Customer58,769,France,Female,58,8,69891.97,1,1,0,57805.97,1,Churned,Inactive
100059,Customer59,601,Germany,Female,61,7,101354.83,2,1,1,78632.63,1,Churned,Active
100060,Customer60,734,Germany,Male,39,6,30010.34,2,0,0,181789.81,1,Churned,Inactive
100061,Customer61,795,Germany,Female,55,1,90177.33,4,1,1,173037.22,0,Retained,Active
100062,Customer62,675,Germany,Male,77,2,62331.18,3,1,1,109528.15,0,Retained,Active
100063,Customer63,364,France,Female,69,10,100010.42,2,0,0,24153.07,0,Retained,Inactive
100064,Customer64,679,Spain,Female,73,4,121393.77,2,0,1,102354.06,0,Retained,Active
100065,Customer65,849,Germany,Female,59,4,101552.32,2,1,1,104388.67,0,Retained,Active
100066,Customer66,388,Spain,Female,31,8,226489.98,4,0,1,98802.42,0,Retained,Active
100067,Customer67,474,Germany,Female,23,2,85488.81,1,1,1,59238.42,0,Retained,Active
100068,Customer68,561,Germany,Male,42,6,186460.14,2,1,0,64994.37,0,Retained,Inactive
100069,Customer69,414,France,Female,61,8,132306.42,2,0,1,65138.86,0,Retained,Active
100070,Customer70,838,France,Female,37,0,31811.76,4,1,1,194132.03,0,Retained,Active
100071,Customer71,825,Germany,Male,70,8,213865.67,4,0,1,159874.83,0,Retained,Active
100072,Customer72,405,France,Male,78,10,211627.13,4,0,1,117027.67,0,Retained,Active
100073,Customer73,820,France,Male,20,10,178755.41,2,1,0,112726.83,0,Retained,Inactive
100074,Customer74,833,Germany,Male,55,3,97020.49,2,0,1,16935.4,0,Retained,Active
100075,Customer75,779,Germany,Female,74,3,118826.06,2,0,1,20416.96,0,Retained,Active
100076,Customer76,803,Germany,Female,61,10,105003.97,3,0,1,138460.68,1,Churned,Active
100077,Customer77,717,Germany,Male,44,5,170641.67,2,0,1,162456.88,0,Retained,Active
100078,Customer78,509,Spain,Male,67,3,57702.2,2,1,1,155687.09,0,Retained,Active
100079,Customer79,445,Germany,Male,75,3,121263.18,1,0,0,185555.86,0,Retained,Inactive
100080,Customer80,562,France,Male,21,0,46026.21,4,1,1,150553.9,0,Retained,Active
100081,Customer81,829,France,Male,51,7,7973.42,4,1,1,197221.83,1,Churned,Active
100082,Customer82,391,Germany,Male,40,6,238878.71,1,0,1,85323.99,1,Churned,Active
100083,Customer83,450,Germany,Female,41,8,229876.6,2,1,1,82386.04,0,Retained,Active
100084,Customer84,670,Germany,Male,67,6,10162.37,1,1,0,26577.29,0,Retained,Inactive
100085,Customer85,660,France,Female,39,5,68078.67,1,1,1,153091.01,1,Churned,Active
100086,Customer86,719,Spain,Female,66,9,229114.9,1,0,0,167813.39,0,Retained,Inactive
100087,Customer87,747,France,Female,42,4,228385.99,4,0,0,186698.39,0,Retained,Inactive
100088,Customer88,771,France,Male,62,2,151813.56,3,1,0,100244.52,0,Retained,Inactive
100089,Customer89,431,Spain,Male,33,6,16183.26,1,1,1,117230.01,0,Retained,Active
100090,Customer90,386,Germany,Male,34,9,21020.65,1,1,0,107217.92,0,Retained,Inactive
100091,Customer91,585,Spain,Female,57,10,58733.33,1,1,1,69349.7,1,Churned,Active
100092,Customer92,451,Spain,Female,46,3,46434.1,2,0,1,67050.51,0,Retained,Active
100093,Customer93,475,Spain,Male,50,8,57845.24,1,1,1,198326.8,0,Retained,Active
100094,Customer94,780,France,Male,46,5,10090.47,3,0,1,37055.08,0,Retained,Active
100095,Customer95,793,France,Male,29,7,150760.55,1,0,0,132929.6,0,Retained,Inactive
100096,Customer96,422,Spain,Female,20,3,249968.44,1,0,1,165727.59,0,Retained,Active
100097,Customer97,509,Germany,Female,22,3,7866.65,4,1,0,26705.15,1,Churned,Inactive
100098,Customer98,623,France,Female,23,10,40922.33,3,1,0,197824.17,1,Churned,Inactive
100099,Customer99,731,Spain,Female,54,5,103520.01,1,1,1,134228.47,1,Churned,Active
100100,Customer100,811,Germany,Female,28,6,28384.82,1,1,1,121892.2,1,Churned,Active
100101,Customer101,376,Germany,Female,53,2,160166.67,4,0,0,120979.93,1,Churned,Inactive
100102,Customer102,616,Germany,Male,28,1,27198.21,4,0,1,70798.83,0,Retained,Active
100103,Customer103,675,France,Female,42,1,226055.21,2,0,1,129894.82,0,Retained,Active
100104,Customer104,461,Spain,Male,20,6,234637.26,2,1,0,81453.42,1,Churned,Inactive
100105,Customer105,448,France,Male,20,8,210621.25,1,1,0,36780.24,0,Retained,Inactive
100106,Customer106,506,Spain,Female,59,6,77052.91,2,1,0,87004.23,0,Retained,Inactive
100107,Customer107,351,Germany,Female,57,7,116318.28,4,1,1,169760.85,1,Churned,Active
100108,Customer108,570,Germany,Female,41,1,200570.5,1,0,1,132740.85,1,Churned,Active
100109,Customer109,377,France,Female,66,8,223716.87,2,0,0,173557.97,0,Retained,Inactive
100110,Customer110,601,Spain,Male,36,2,171533.49,2,0,1,169111.68,0,Retained,Active
100111,Customer111,490,Spain,Female,75,7,35893.07,4,0,1,124499.24,0,Retained,Active
